hochschulname;typ;trager;bundesland;studis;precht;hrecht
Fachhochschule Aachen;Fachhochschulen / HAW;offentlich-rechtlich;Nordrhein-Westfalen;14086;Nein;Nein
Rheinisch-Westfalische Technische Hochschule Aachen;Universitaten;offentlich-rechtlich;Nordrhein-Westfalen;45527;Ja;Ja
Hochschule Aalen - Technik und Wirtschaft;Fachhochschulen / HAW;offentlich-rechtlich;Baden-Wurttemberg;4559;Nein;Nein
Hochschule Albstadt-Sigmaringen;Fachhochschulen / HAW;offentlich-rechtlich;Baden-Wurttemberg;2666;Nein;Nein
Alanus Hochschule fur Kunst und Gesellschaft;Kunstlerische Hochschulen;privat, staatlich anerkannt;Nordrhein-Westfalen;1564;Ja;Nein
Ostbayerische Technische Hochschule Amberg-Weiden;Fachhochschulen / HAW;offentlich-rechtlich;Bayern;4077;Ja;Nein
Hochschule Anhalt - Anhalt University of Applied Sciences;Fachhochschulen / HAW;offentlich-rechtlich;Sachsen-Anhalt;7067;Ja;Nein
Hochschule fur angewandte Wissenschaften Ansbach;Fachhochschulen / HAW;offentlich-rechtlich;Bayern;3898;Ja;Nein
Technische Hochschule Aschaffenburg;Fachhochschulen / HAW;offentlich-rechtlich;Bayern;3559;Nein;Nein
Technische Hochschule Augsburg;Fachhochschulen / HAW;offentlich-rechtlich;Bayern;7025;Nein;Nein
Universitat Augsburg;Universitaten;offentlich-rechtlich;Bayern;19089;Ja;Ja
EHIP - Europaische Hochschule fur Innovation und Perspektive;Fachhochschulen / HAW;privat, staatlich anerkannt;Baden-Wurttemberg;;Nein;Nein
Hochschule fur Polizei Baden-Wurttemberg;Verwaltungshochschule;offentlich-rechtlich;Baden-Wurttemberg;2337;Nein;Nein
Hochschule fur Rechtspflege Schwetzingen;Verwaltungshochschule;offentlich-rechtlich;Baden-Wurttemberg;716;Nein;Nein
Hochschule fur offentliche Verwaltung und Finanzen Ludwigsburg;Verwaltungshochschule;offentlich-rechtlich;Baden-Wurttemberg;2792;Nein;Nein
Hochschule fur offentliche Verwaltung Kehl;Verwaltungshochschule;offentlich-rechtlich;Baden-Wurttemberg;1421;Nein;Nein
accadis Hochschule Bad Homburg;Fachhochschulen / HAW;privat, staatlich anerkannt;Hessen;448;Nein;Nein
Internationale Hochschule Liebenzell (IHL);Fachhochschulen / HAW;privat, staatlich anerkannt;Baden-Wurttemberg;305;Nein;Nein
Otto-Friedrich-Universitat Bamberg;Universitaten;offentlich-rechtlich;Bayern;10734;Ja;Ja
Hochschule fur den offentlichen Dienst in Bayern;Verwaltungshochschule;offentlich-rechtlich;Bayern;4907;Nein;Nein
Hochschule fur evangelische Kirchenmusik der Evangelisch-Lutherischen Kirche in Bayern;Kunstlerische Hochschulen;kirchlich, staatlich anerkannt;Bayern;26;Nein;Nein
Universitat Bayreuth;Universitaten;offentlich-rechtlich;Bayern;11924;Ja;Ja
Akkon-Hochschule;Fachhochschulen / HAW;privat, staatlich anerkannt;Berlin;1406;Nein;Nein
Alice Salomon Hochschule Berlin;Fachhochschulen / HAW;offentlich-rechtlich;Berlin;4299;Nein;Nein
bbw Hochschule;Fachhochschulen / HAW;privat, staatlich anerkannt;Berlin;822;Nein;Nein
Bard College Berlin, A Liberal Arts University;Universitaten;privat, staatlich anerkannt;Berlin;312;Nein;Nein
Berliner Hochschule fur Technik;Fachhochschulen / HAW;offentlich-rechtlich;Berlin;12296;Nein;Nein
Berlin International University of Applied Sciences;Fachhochschulen / HAW;privat, staatlich anerkannt;Berlin;530;Nein;Nein
Barenboim-Said Akademie;Kunstlerische Hochschulen;privat, staatlich anerkannt;Berlin;77;Nein;Nein
BSP Business and Law School - Hochschule fur Management und Recht;Fachhochschulen / HAW;privat, staatlich anerkannt;Berlin;1750;Nein;Nein
